id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,schema drift,55,10,24,105,129,watch,baseline,monotonic-signal
g002,lineage depth,49,49,38,71,66,hold,edge,drag-penalty
g003,partition skew,94,36,4,93,301,ship,recovery,confidence-floor
g004,quality gap,76,32,31,31,91,hold,negative,lane-boundary
g005,schema drift,114,67,25,48,243,ship,baseline,monotonic-signal
g006,lineage depth,49,17,44,104,43,hold,edge,drag-penalty
g007,partition skew,108,30,13,50,244,ship,recovery,confidence-floor
g008,quality gap,53,74,41,71,87,hold,negative,lane-boundary
g009,schema drift,73,28,36,86,116,watch,baseline,monotonic-signal
g010,lineage depth,86,43,14,55,214,ship,edge,drag-penalty
g011,partition skew,96,53,25,87,232,ship,recovery,confidence-floor
g012,quality gap,61,60,32,64,118,watch,negative,lane-boundary
g013,schema drift,91,31,29,100,197,ship,baseline,monotonic-signal
g014,lineage depth,109,19,37,37,126,watch,edge,drag-penalty
g015,partition skew,78,16,22,53,137,watch,recovery,confidence-floor
g016,quality gap,110,52,16,65,273,ship,negative,lane-boundary
g017,schema drift,41,37,14,76,139,watch,baseline,monotonic-signal
g018,lineage depth,54,32,15,86,166,watch,edge,drag-penalty
g019,partition skew,64,32,38,95,103,hold,recovery,confidence-floor
g020,quality gap,73,70,9,104,284,ship,negative,lane-boundary
g021,schema drift,81,21,17,70,185,ship,baseline,monotonic-signal
g022,lineage depth,44,69,22,92,161,watch,edge,drag-penalty
g023,partition skew,117,26,26,30,186,ship,recovery,confidence-floor
g024,quality gap,69,42,9,47,191,ship,negative,lane-boundary
g025,schema drift,49,61,23,103,170,watch,baseline,monotonic-signal
g026,lineage depth,86,29,31,49,126,watch,edge,drag-penalty
g027,partition skew,64,16,16,70,150,watch,recovery,confidence-floor
g028,quality gap,57,12,10,85,171,watch,negative,lane-boundary
g029,schema drift,101,12,29,54,152,watch,baseline,monotonic-signal
g030,lineage depth,82,15,40,86,105,hold,edge,drag-penalty
g031,partition skew,32,54,26,63,77,hold,recovery,confidence-floor
g032,quality gap,96,41,21,99,248,ship,negative,lane-boundary
g033,schema drift,90,37,41,36,89,hold,baseline,monotonic-signal
g034,lineage depth,47,72,10,52,178,watch,edge,drag-penalty
