id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,schema drift,64,10,24,105,147,watch,baseline,monotonic-signal,raise-signal
m002,g002,lineage depth,49,38,38,71,55,hold,edge,drag-penalty,drop-slack
m003,g003,partition skew,94,36,11,93,273,ship,recovery,confidence-floor,raise-drag
m004,g004,quality gap,76,32,31,18,78,hold,negative,lane-boundary,lower-confidence
m005,g005,schema drift,123,67,25,48,261,ship,baseline,monotonic-signal,raise-signal
m006,g006,lineage depth,49,6,44,104,32,hold,edge,drag-penalty,drop-slack
m007,g007,partition skew,108,30,20,50,216,ship,recovery,confidence-floor,raise-drag
m008,g008,quality gap,53,74,41,58,74,hold,negative,lane-boundary,lower-confidence
m009,g009,schema drift,82,28,36,86,134,watch,baseline,monotonic-signal,raise-signal
m010,g010,lineage depth,86,32,14,55,203,ship,edge,drag-penalty,drop-slack
m011,g011,partition skew,96,53,32,87,204,ship,recovery,confidence-floor,raise-drag
m012,g012,quality gap,61,60,32,51,105,hold,negative,lane-boundary,lower-confidence
m013,g013,schema drift,100,31,29,100,215,ship,baseline,monotonic-signal,raise-signal
m014,g014,lineage depth,109,8,37,37,115,watch,edge,drag-penalty,drop-slack
m015,g015,partition skew,78,16,29,53,109,hold,recovery,confidence-floor,raise-drag
m016,g016,quality gap,110,52,16,52,260,ship,negative,lane-boundary,lower-confidence
m017,g017,schema drift,50,37,14,76,157,watch,baseline,monotonic-signal,raise-signal
m018,g018,lineage depth,54,21,15,86,155,watch,edge,drag-penalty,drop-slack
m019,g019,partition skew,64,32,45,95,75,hold,recovery,confidence-floor,raise-drag
m020,g020,quality gap,73,70,9,91,271,ship,negative,lane-boundary,lower-confidence
m021,g021,schema drift,90,21,17,70,203,ship,baseline,monotonic-signal,raise-signal
m022,g022,lineage depth,44,58,22,92,150,watch,edge,drag-penalty,drop-slack
m023,g023,partition skew,117,26,33,30,158,watch,recovery,confidence-floor,raise-drag
m024,g024,quality gap,69,42,9,34,178,watch,negative,lane-boundary,lower-confidence
m025,g025,schema drift,58,61,23,103,188,ship,baseline,monotonic-signal,raise-signal
m026,g026,lineage depth,86,18,31,49,115,watch,edge,drag-penalty,drop-slack
m027,g027,partition skew,64,16,23,70,122,watch,recovery,confidence-floor,raise-drag
m028,g028,quality gap,57,12,10,72,158,watch,negative,lane-boundary,lower-confidence
m029,g029,schema drift,110,12,29,54,170,watch,baseline,monotonic-signal,raise-signal
m030,g030,lineage depth,82,4,40,86,94,hold,edge,drag-penalty,drop-slack
m031,g031,partition skew,32,54,33,63,49,hold,recovery,confidence-floor,raise-drag
m032,g032,quality gap,96,41,21,86,235,ship,negative,lane-boundary,lower-confidence
m033,g033,schema drift,99,37,41,36,107,hold,baseline,monotonic-signal,raise-signal
